year,month,area_of_origin,estimated_dollar_loss,civilian_casualties,extent_of_fire,ignition_source,fire_alarm_system,smoke_alarm_at_fire_origin,sprinkler_system,status_of_fire_on_arrival,fire_alarm_system_impact_on_evacuation
2017,Summer,"71 - Open Area (inc lawn, field, farmyard, park, playing field, pier,",500,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,No System,No System,1 - Fire extinguished prior to arrival,"8 - Not applicable: No fire alarm system, no persons present"
2013,Summer,"45 - Supply Storage Room (inc maintenance/office/document storage, et",1000,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,No System,System Presents,1 - Fire extinguished prior to arrival,7 - Not applicable: Occupant(s) first alerted by other means
2013,Summer,24 - Cooking Area or Kitchen,1000,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,Presents and Operated,No System,1 - Fire extinguished prior to arrival,7 - Not applicable: Occupant(s) first alerted by other means
2013,Summer,"75 - Trash, rubbish area (outside)",600,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,No System,No System,1 - Fire extinguished prior to arrival,7 - Not applicable: Occupant(s) first alerted by other means
2013,Summer,24 - Cooking Area or Kitchen,800,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,System Presents,1 - Fire extinguished prior to arrival,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2012,Winter,27 - Laundry Area,500,1,1 - Confined to object of origin,1 - Confined to object of origin,No System,System Presents,No System,2 - Fire with no evidence from street,"8 - Not applicable: No fire alarm system, no persons present"
2012,Winter,"45 - Supply Storage Room (inc maintenance/office/document storage, et",0,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,No System,No System,1 - Fire extinguished prior to arrival,7 - Not applicable: Occupant(s) first alerted by other means
2016,Autumn,24 - Cooking Area or Kitchen,2000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,System Presents,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires","8 - Not applicable: No fire alarm system, no persons present"
2012,Winter,27 - Laundry Area,600,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,Presents and Operated,No System,1 - Fire extinguished prior to arrival,NA
2016,Summer,"21 - Living Area (e.g. living, TV, recreation, etc)",5000,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,Presents and Operated,No System,1 - Fire extinguished prior to arrival,7 - Not applicable: Occupant(s) first alerted by other means
2014,Winter,83 - Electrical Systems,3000,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,No System,1 - Fire extinguished prior to arrival,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2017,Summer,24 - Cooking Area or Kitchen,100,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,System Presents,1 - Fire extinguished prior to arrival,2 - Some persons (at risk) evacuated as a result of hearing fire alarm system
2015,Spring,64 - Porch or Balcony,0,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,No System,System Presents,1 - Fire extinguished prior to arrival,"8 - Not applicable: No fire alarm system, no persons present"
2015,Spring,24 - Cooking Area or Kitchen,0,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,No System,No System,1 - Fire extinguished prior to arrival,7 - Not applicable: Occupant(s) first alerted by other means
2014,Autumn,24 - Cooking Area or Kitchen,2,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,System Presents,1 - Fire extinguished prior to arrival,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2016,Autumn,24 - Cooking Area or Kitchen,35000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents and Operated,Presents and Operated,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires",1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2014,Winter,24 - Cooking Area or Kitchen,5000,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,Presents and Operated,No System,1 - Fire extinguished prior to arrival,"8 - Not applicable: No fire alarm system, no persons present"
2012,Winter,24 - Cooking Area or Kitchen,3000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents,No System,No System,2 - Fire with no evidence from street,NA
2015,Winter,99 - Undetermined  (formerly 98),12000,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,No System,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires","8 - Not applicable: No fire alarm system, no persons present"
2015,Winter,"44 - Trash, Rubbish Storage (inc garbage chute room, garbage/industri",0,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,Presents and Activated,"3 - Fire with smoke showing only - including vehicle, outdoor fires",3 - No one (at risk) evacuated as a result of hearing fire alarm system
2015,Winter,24 - Cooking Area or Kitchen,100,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,Presents and Operated,No System,1 - Fire extinguished prior to arrival,7 - Not applicable: Occupant(s) first alerted by other means
2012,Winter,"58 - Ducting - Exhaust (inc cooking, fumes, etc.)",0,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,No System,No System,1 - Fire extinguished prior to arrival,7 - Not applicable: Occupant(s) first alerted by other means
2012,Winter,24 - Cooking Area or Kitchen,5000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,Presents and Operated,No System,1 - Fire extinguished prior to arrival,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2012,Winter,79 - Other Outside Area,2000,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,No System,No System,"4 - Flames showing from small area (one storey or less, part of a vehicle, outdoor)","8 - Not applicable: No fire alarm system, no persons present"
2014,Winter,24 - Cooking Area or Kitchen,5000,0,"4 - Spread beyond room of origin, same floor","4 - Spread beyond room of origin, same floor",No System,No System,No System,"3 - Fire with smoke showing only - including vehicle, outdoor fires","8 - Not applicable: No fire alarm system, no persons present"
2017,Summer,64 - Porch or Balcony,0,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,No System,System Presents,"3 - Fire with smoke showing only - including vehicle, outdoor fires",NA
2017,Summer,"44 - Trash, Rubbish Storage (inc garbage chute room, garbage/industri",1000,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,System Presents,No System,1 - Fire extinguished prior to arrival,7 - Not applicable: Occupant(s) first alerted by other means
2017,Autumn,"44 - Trash, Rubbish Storage (inc garbage chute room, garbage/industri",0,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,No System,No System,"4 - Flames showing from small area (one storey or less, part of a vehicle, outdoor)","8 - Not applicable: No fire alarm system, no persons present"
2017,Autumn,24 - Cooking Area or Kitchen,2000,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,No System,System Presents,No System,1 - Fire extinguished prior to arrival,7 - Not applicable: Occupant(s) first alerted by other means
2014,Winter,27 - Laundry Area,600,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,No System,1 - Fire extinguished prior to arrival,3 - No one (at risk) evacuated as a result of hearing fire alarm system
2012,Winter,24 - Cooking Area or Kitchen,0,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,Presents and Operated,System Presents,1 - Fire extinguished prior to arrival,"8 - Not applicable: No fire alarm system, no persons present"
2012,Winter,64 - Porch or Balcony,300,0,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents,No System,System Presents,"3 - Fire with smoke showing only - including vehicle, outdoor fires",7 - Not applicable: Occupant(s) first alerted by other means
2012,Winter,97 - Other - unclassified,1000,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,System Presents,No System,2 - Fire with no evidence from street,7 - Not applicable: Occupant(s) first alerted by other means
2016,Spring,"22 - Sleeping Area or Bedroom (inc. patients room, dormitory, etc)",50,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,System Presents,System Presents,1 - Fire extinguished prior to arrival,NA
2016,Spring,24 - Cooking Area or Kitchen,20000,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,No System,Presents and Activated,1 - Fire extinguished prior to arrival,1 - All persons (at risk of injury) evacuated as a result of hearing fire alarm system
2015,Summer,64 - Porch or Balcony,0,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents,System Presents,No System,1 - Fire extinguished prior to arrival,7 - Not applicable: Occupant(s) first alerted by other means
2014,Autumn,24 - Cooking Area or Kitchen,1000,1,2 - Confined to part of room/area of origin,2 - Confined to part of room/area of origin,System Presents,Presents and Operated,System Presents,1 - Fire extinguished prior to arrival,7 - Not applicable: Occupant(s) first alerted by other means
2014,Autumn,24 - Cooking Area or Kitchen,3000,0,1 - Confined to object of origin,1 - Confined to object of origin,System Presents and Operated,Presents and Operated,System Presents,1 - Fire extinguished prior to arrival,2 - Some persons (at risk) evacuated as a result of hearing fire alarm system
2017,Autumn,24 - Cooking Area or Kitchen,300,0,1 - Confined to object of origin,1 - Confined to object of origin,No System,Presents and Operated,No System,1 - Fire extinguished prior to arrival,"8 - Not applicable: No fire alarm system, no persons present"
